License First Date,Facility Status,Facility Telephone Number,Facility Number,Facility State,Regional Office,Inspection Visits,Other TypeA,Citation Numbers,POC Dates,Other TypeB,,"Complaint Information - Date, #Sub Alleg, # Inc Alleg, # TypeA, # TypeB .....",Other Visits,longitude,Facility Type,Inspection Visit Dates,Facility Zip,County Name,Facility Address,All Visit Dates,Complaint Visits,Licensee,Facility Name,Facility Administrator,Facility City,latitude,Inspect TypeB,Facility Capacity,Inspect TypeA,Total Visits,Last Visit Date,Other Visit Dates,Closed Date
7/23/2010,CLOSED,(916) 802-6336,317004612,CA,27,1,0,,,0,,No Complaints,0,-120.82717,ADULT DAY PROGRAM,06/02/2015,95619,PLACER,6590 COMMERCE WAY,06/02/2015,0,"A FAMILY AFFAIR CONNECTIONS, INC.",A FAMILY AFFAIR CONNECTIONS INC.,"MITCHELL, CAROLYN",DIAMOND SPRINGS,38.692701,0,30,0,1,6/2/2015,,6/2/2015
12/20/2010,CLOSED,(916) 395-3788,019200396,CA,15,1,0,,,0,,No Complaints,0,-122.2732,ADULT DAY PROGRAM,12/01/2015,94501,ALAMEDA,841 MARINA VILLAGE PARKWAY,12/01/2015,0,"A FAMILY AFFAIR CONNECTION, INC.","A FAMILY AFFAIR CONNECTION, INC.",KASSIA MITCHELL-LUCERO,ALAMEDA,37.783726,0,15,0,1,12/1/2015,,12/1/2015
12/11/2013,LICENSED,(310) 227-1834,198601685,CA,28,0,0,,,0,,No Complaints,4,-118.343811,ADULT DAY PROGRAM,,90301,LOS ANGELES,693 S. LA BREA AVENUE,"01/28/2016, 10/08/2013, 07/05/2013, 05/24/2013",0,"R.L. HARIS-WORTHAM, INC.",A HEALTHIER CHOICE DAY PROGRAM,GEORGE MCFARLAND,INGLEWOOD,34.054035,0,45,0,4,1/28/2016,"01/28/2016, 10/08/2013, 07/05/2013, 05/24/2013",
12/3/2009,CLOSED,(909) 798-6767,366424410,CA,18,1,0,,,0,,No Complaints,1,-117.188172,ADULT DAY PROGRAM,12/21/2011,92373,SAN BERNARDINO,140 S. SAN MATEO ST.,"12/21/2011, 06/07/2011",0,"A HOME AWAY FROM HOME CARE SERVICES, LLC",A HOME AWAY FROM HOME,"QUIGLEY, MICHELLE",REDLANDS,34.035333,0,6,0,2,6/7/2011,06/07/2011,5/11/2012
2/22/2012,LICENSED,(408) 900-8940,435202286,CA,26,2,0,"82065(e), 82069(b)(1), 82068.3(a), 82068.3(a), 82072(a)(3), 82065(e)","07/19/2013, 02/20/2014, 03/12/2014, 09/05/2014, 09/05/2014, 09/05/2014",3,"['1', '2', '1', '0']",08/05/2013,5,-121.986215,ADULT DAY PROGRAM,"02/17/2015, 02/19/2014",95051,SANTA CLARA,3269 KIFER RD.,"02/25/2015, 02/17/2015, 10/24/2014, 08/29/2014, 02/19/2014, 07/18/2013, 07/18/2013, 10/10/2012, 11/08/2011",2,JP PHAM CORPORATION,A & T TRAINING CENTER,ALLISON NGO,SANTA CLARA,37.37468,1,100,1,9,7/29/2015,"02/25/2015, 10/24/2014, 08/29/2014, 10/10/2012, 11/08/2011",
5/25/2006,LICENSED,(707) 462-3283,236801916,CA,21,3,0,,,0,,No Complaints,0,-118.267513,ADULT DAY PROGRAM,"05/11/2016, 06/18/2015, 04/23/2012",95482,MENDOCINO,"564 S. DORA STREET, STE B","05/11/2016, 06/18/2015, 04/23/2012",0,"ASSOCIATION OF BEHAVIOR CONSULTANTS, INC.","ABC DAY PROGRAMS, MENDOCINO","ANDERSON, LINDA",UKIAH,34.162266,0,30,0,3,5/11/2016,,
8/20/1993,LICENSED,(650) 494-0550,430707208,CA,26,3,0,"82072(a)(2), 82087, 80061(b)(","05/22/2014, 05/21/2014, 05/15/2014",0,"['2', '0', '2', '1']",07/16/2014,3,-122.111864,ADULT DAY PROGRAM,"08/19/2015, 08/19/2014, 07/30/2013",94303,SANTA CLARA,3864 MIDDLEFIELD ROAD,"12/28/2015, 08/19/2015, 08/19/2014, 07/02/2014, 05/21/2014, 05/08/2014, 07/30/2013, 07/19/2012",2,ABILITIES UNITED,ABILITIES UNITED L.E.A.R.N.,SOHEILA MOZAYAN,PALO ALTO,37.421072,0,53,0,8,12/28/2015,"12/28/2015, 07/02/2014, 07/19/2012",
,PENDING,(626) 449-5661,198602059,CA,28,0,0,,,0,,No Complaints,2,-118.08619,ADULT DAY PROGRAM,,91107,LOS ANGELES,201 S. KINNELOA AVENUE,"07/20/2015, 08/05/2015",0,ABILITY FIRST,ABILITY FIRST-LAWRENCE L. FRANK CENTER,KELLY PRIVITT,PASADENA,34.142826,0,36,0,2,8/5/2015,"07/20/2015, 08/05/2015",
8/10/1994,LICENSED,(510) 531-3323,011441112,CA,15,1,2,"80078(a), ?1568.092","03/10/2016, 04/23/2014",0,,No Complaints,9,-122.202258,ADULT DAY PROGRAM,11/30/2012,94602,ALAMEDA,4500 LINCOLN AVENUE,"04/29/2016, 03/10/2016, 08/05/2015, 04/23/2014, 06/27/2013, 11/30/2012, 10/24/2012, 07/20/2012, 01/27/2012, 09/08/2011",0,"ABILITY NOW BAY AREA, INC.","ABILITY NOW BAY AREA, INC.","LESLIE WEROSH, MPA",OAKLAND,37.808736,0,100,0,10,4/29/2016,"04/29/2016, 03/10/2016, 08/05/2015, 04/23/2014, 06/27/2013, 10/24/2012, 07/20/2012, 01/27/2012, 09/08/2011",
,CLOSED,(909) 621-4727,198602054,CA,28,0,0,,,0,,No Complaints,1,-117.720592,ADULT DAY PROGRAM,,91711,LOS ANGELES,480 S INDIAN HILL BLVD,12/17/2015,0,ABILITYFIRST,ABILITYFIRST,KELLY PRIVITT,CLAREMONT,34.084568,0,24,0,1,12/17/2015,12/17/2015,4/13/2016
6/5/2013,CLOSED,(323) 753-3101,198601651,CA,28,0,0,,,0,,No Complaints,2,-118.32853,ADULT DAY PROGRAM,,90043,LOS ANGELES,7860 10TH AVENUE,"09/21/2015, 05/30/2013",0,ABILITYFIRST,ABILITYFIRST,MONIQUE WATTS,LOS ANGELES,33.967734,0,26,0,2,9/21/2015,"09/21/2015, 05/30/2013",4/16/2015
12/12/1986,LICENSED,(562) 426-6161,191600097,CA,28,1,1,82072 (a)(2),11/28/2012,0,,No Complaints,2,-118.148518,ADULT DAY PROGRAM,09/21/2012,90815,LOS ANGELES,3770 E WILLOW STREET,"11/14/2012, 09/21/2012, 06/08/2012",0,CRIPPLED CHILDREN'S SOCIETY,ABILITYFIRST LONG BEACH CENTER ADULT DAY PROGRAM,"SCHLOSSER, BARBARA",LONG BEACH,33.803715,0,40,0,3,11/14/2012,"11/14/2012, 06/08/2012",
9/21/2011,CLOSED,(714) 546-6727,306004283,CA,22,2,0,,,0,,No Complaints,2,-117.8693,ADULT DAY PROGRAM,"09/24/2014, 10/21/2013",92626,ORANGE,1060 PAULARINO AVENUE,"09/10/2015, 09/24/2014, 10/21/2013, 08/21/2012",0,ABILITY FIRST,ABILITYFIRST NEWPORT MESA ADULT DAY PROGRAM,JOY THOMAS,COSTA MESA,33.678785,0,15,0,4,9/10/2015,"09/10/2015, 08/21/2012",9/11/2015
,PENDING,(916) 276-6777,317005948,CA,23,0,0,,,0,,No Complaints,1,-121.226879,ADULT DAY PROGRAM,,95661,PLACER,8200 SIERRA COLLEGE D,06/02/2016,0,AMITIS POURARIAN,ABLE,"POURARIAN, AMITIS",ROSEVILLE,38.745825,0,30,0,1,6/2/2016,06/02/2016,
,CLOSED,(530) 868-5570,045002535,CA,25,0,0,,,0,,No Complaints,0,-121.65335,ADULT DAY PROGRAM,,95917,BUTTE,753 BIGGS E. HIGHWAY,,0,"LATHAM, SHIRLEEN",ABOVE AND BEYOND DAY PROGRAM,JOLEEN JOHNSON,BIGGS,39.415652,0,24,0,0,,,5/22/2014
6/23/2010,CLOSED,(916) 285-0813,347004472,CA,27,0,0,,,0,,No Complaints,0,-121.529789,ADULT DAY PROGRAM,,95835,SACRAMENTO,120 CARAVAGGIO CIRCLE,,0,ABSOLUTE CARE ADULT DAY PROGRAM INC.,ABSOLUTE CARE ADULT DAY PROGRAM,"FREEMAN, BENNIE JR.",SACRAMENTO,38.677747,0,30,0,0,5/13/2010,,7/20/2011
2/4/2008,LICENSED,(559) 225-6370,107204023,CA,24,1,2,"82061, 82064, 82036(a), 80087(c), 82072(a)(1), 82087(a)","11/15/2013, 12/06/2013, 11/14/2014, 02/07/2013, 11/14/2014, 02/07/2013",0,"['1', '0', '0', '1', '11/21/2013', '1', '0', '2', '0', '02/14/2013', '1', '0', '0', '1']",11/12/2014,12,-119.854083,ADULT DAY PROGRAM,01/19/2012,93711,FRESNO,3433 WEST SHAW AVE. #101,"06/01/2016, 12/07/2015, 11/18/2015, 10/27/2015, 01/22/2015, 11/06/2014, 11/06/2014, 09/15/2014, 07/17/2014, 01/29/2014, 11/15/2013, 06/11/2013, 02/07/2013, 02/07/2013, 02/07/2013, 09/06/2012, 01/19/2012",4,ACCESS COMMUNITY SERVICES,ACCESS SPECIALIZED TREATMENT PROGRAM,"KENDALL, RICHARD",FRESNO,36.806295,0,45,0,17,6/1/2016,"06/01/2016, 12/07/2015, 11/18/2015, 10/27/2015, 01/22/2015, 11/06/2014, 09/15/2014, 07/17/2014, 01/29/2014, 06/11/2013, 02/07/2013, 09/06/2012",
6/18/1999,CLOSED,(209) 475-0791,397001249,CA,27,1,0,"82088(e)(1), 82019(e)(1), 82019(e)(2) , 82065.1(d)(1)","05/22/2013, 05/22/2013, 05/24/2013, 06/11/2013",0,,No Complaints,4,-121.335869,ADULT DAY PROGRAM,05/21/2013,95207,SAN JOAQUIN,1708 W. HAMMER LANE,"03/24/2016, 09/27/2013, 05/22/2013, 05/21/2013, 09/20/2012",0,ASSOCIATION FOR RETARDED CITIZENS - S.J.,ACCESS STOCKTON,MIA CHATMAN,STOCKTON,38.020735,2,42,2,5,3/24/2016,"03/24/2016, 09/27/2013, 05/22/2013, 09/20/2012",4/1/2015
,CLOSED,(209) 475-0791,397005338,CA,27,0,0,,,0,,No Complaints,0,-121.307687,ADULT DAY PROGRAM,,95207,SAN JOAQUIN,41 W YOKUTS AVE,,0,"ARC SAN JOAQUIN- ACCESS STOCKTON, THE",ACCESS STOCKTON,MIA CHATMAN,STOCKTON,37.998779,0,42,0,0,,,12/16/2013
11/18/2003,LICENSED,(760) 505-2870,374601713,CA,08,2,0,82065.1(d)(1),09/28/2015,0,,No Complaints,0,-117.225726,ADULT DAY PROGRAM,"09/14/2015, 10/30/2014",92084,SAN DIEGO,1591-B E. VISTA WAY,"09/14/2015, 10/30/2014",0,ACCESS UNLIMITED INC.,ACCESS UNLIMITED INC.,MARITZA HERNANDEZ-CLAY,VISTA,33.22285,1,30,0,2,9/14/2015,,
12/29/1998,LICENSED,(916) 564-6117,347001222,CA,27,2,1,82078,11/03/2015,0,,No Complaints,2,-121.41343,ADULT DAY PROGRAM,"11/02/2015, 09/25/2013",95825,SACRAMENTO,"1250 HOWE AVE, UNIT 14B","11/19/2015, 11/02/2015, 11/02/2015, 09/25/2013",0,EASTER SEAL SOCIETY OF SUPERIOR CALIFORNIA,ACE-IT I,SUE HARRIS,SACRAMENTO,38.587868,0,36,0,4,11/19/2015,"11/02/2015, 11/19/2015",
10/6/1989,LICENSED,(916) 962-2766,340312462,CA,27,1,0,"82092.1, 82088(e)(1), 82092.2","08/14/2014, 08/15/2014, 04/24/2015",1,"['0', '1', '0', '0']",11/25/2014,3,-121.263736,ADULT DAY PROGRAM,08/13/2014,95610,SACRAMENTO,"8089 MADISON AVE, SUITE 4","04/09/2015, 11/24/2014, 08/13/2014, 01/17/2014, 09/25/2013",1,SACRAMENTO AREA EASTER SEAL SOCIETY,ACE-IT II,"HARRIS, SUE",CITRUS HEIGHTS,38.665583,1,60,1,5,4/9/2015,"04/09/2015, 01/17/2014, 09/25/2013",
6/1/1998,LICENSED,(530) 673-4585,515000625,CA,25,1,0,,,0,"['0', '1', '0', '0', '06/09/2011', '0', '1', '0', '0']",07/24/2012,3,-118.117693,ADULT DAY PROGRAM,07/08/2013,95993,SUTTER,"1670 SIERRA AVE, SUITE 601","07/08/2013, 07/08/2013, 04/30/2012, 09/15/2011, 08/19/2011",1,EASTER SEAL SOCIETY OF SUPERIOR CALIFORNIA,ACE-IT III,AMY FULK,YUBA CITY,34.174769,0,60,0,5,7/8/2013,"07/08/2013, 09/15/2011, 08/19/2011",
6/16/1995,LICENSED,(661) 721-3220,157200175,CA,24,2,3,"82075(a), 82065(a), 82054(c), 82087(a)","09/21/2012, 09/21/2012, 09/18/2012, 11/07/2014",0,,No Complaints,1,-119.244138,ADULT DAY PROGRAM,"10/27/2014, 06/04/2012",93215,KERN,612 MAIN STREET,"10/27/2014, 09/18/2012, 06/04/2012",0,DELANO ASSOC. FOR THE DEVELOPMENT DISABLED,ACES,"IRVING, CONNIE",DELANO,35.7643,1,90,0,3,10/27/2014,09/18/2012,
7/19/1990,LICENSED,(661) 721-3222,150406303,CA,24,3,0,"82075(b), 82088(e)(1), 82075(i)(7), 82087(a), 82088(e)(3), 82064(d), 82075(f)","05/13/2016, 09/04/2013, 05/13/2016, 05/14/2016, 09/11/2013, 08/16/2011, 08/16/2011",0,,No Complaints,3,-119.246077,ADULT DAY PROGRAM,"05/06/2016, 09/03/2013, 08/02/2011",93215,KERN,531 HIGH STREET,"05/06/2016, 04/10/2014, 12/06/2013, 12/06/2013, 09/03/2013, 08/02/2011",0,"DELANO ASSN. FOR THE DEVELOPMENTALLY DISABLED, INC","ACHIEVEMENT CENTER, THE","BOLANOS, MARIO",DELANO,35.766715,5,60,2,6,5/6/2016,"04/10/2014, 12/06/2013, 12/06/2013",
1/5/2011,LICENSED,(805) 543-0412,405801725,CA,29,1,0,"82068(a) , 82068.2(d)(1)","03/20/2012, 03/20/2012",0,,No Complaints,9,-120.663255,ADULT DAY PROGRAM,03/06/2012,93401,SAN LUIS OBISPO,553 HIGUERA STREET,"11/19/2015, 09/14/2015, 01/22/2015, 01/15/2015, 12/18/2014, 09/09/2014, 09/09/2014, 10/23/2013, 04/04/2012, 03/06/2012",0,"ACHIEVEMENT HOUSE, INC","ACHIEVEMENT HOUSE, INC",TRACI HOLLINGER,SAN LUIS OBISPO,35.279466,2,60,0,10,11/19/2015,"11/19/2015, 09/14/2015, 01/22/2015, 01/15/2015, 12/18/2014, 09/09/2014, 09/09/2014, 10/23/2013, 04/04/2012",
7/27/2011,LICENSED,(562) 982-0252,306004318,CA,28,0,0,,,0,,No Complaints,1,-118.149059,ADULT DAY PROGRAM,,90804,ORANGE,3626 E. PACIFIC COAST HIGHWAY,07/22/2011,0,"ARTS & SERVICES FOR DISABLED, INC.",ACHIEVING RESULTS TOGETHER,HELEN DOLAS,LONG BEACH,33.789541,0,48,0,1,7/22/2011,07/22/2011,
3/4/1991,CLOSED,(562) 982-0247,191601161,CA,22,0,0,,,0,,No Complaints,0,-118.098972,ADULT DAY PROGRAM,,90808,LOS ANGELES,3962 STUDEBAKER #206,,0,"ARTS AND SERVICES FOR DISABLED, INC.",ACHIEVING RESULTS TOGETHER (A.R.T.),MONICA RITSON FERNANDEZ,LONG BEACH,33.829726,0,45,0,0,2/27/2009,,7/28/2011
5/8/2009,CLOSED,(619) 409-4100,374602830,CA,08,1,0,80070 B ,05/09/2014,0,,No Complaints,0,-117.081661,ADULT DAY PROGRAM,05/05/2014,91910,SAN DIEGO,344 F STREET SUITE 101,05/05/2014,0,"ASSOCIATION FOR COMMUNITY INDEPENDENCE, INC",ACI,"ANDERSON, TAMARA",CHULA VISTA,32.640482,1,45,0,1,5/5/2014,,5/7/2015
5/7/2015,LICENSED,(619) 409-4100,374603621,CA,08,0,0,,,0,,No Complaints,1,-117.047298,ADULT DAY PROGRAM,,91910,SAN DIEGO,"296 H STREET, #101",12/18/2014,0,"ASSOCIATION FOR COMMUNITY INDEPENDENCE, INC.",ACI,TAMARA ANDERSON,CHULA VISTA,32.629518,0,60,0,1,12/18/2014,12/18/2014,
3/6/1995,LICENSED,(818) 762-4365,197600306,CA,31,2,1,"82070(a)(1)(3), 82075(l)(5), 82066(a)(10)","11/12/2012, 01/21/2016, 01/21/2016",0,"['0', '1', '0', '0']",11/15/2012,3,-118.405076,ADULT DAY PROGRAM,"01/07/2016, 01/29/2013",91606,LOS ANGELES,6456 WHITSETT AVE.,"01/07/2016, 01/29/2013, 11/09/2012, 09/12/2012, 09/12/2012, 08/15/2012",1,ARC ACTIVITIES FOR RETARDED CHILDREN AND ADULTS,ACTIVITIES FOR RETARDED CHILDREN AND ADULTS,"SCHALLERT, MARY",NORTH HOLLYWOOD,34.188255,2,36,0,6,1/7/2016,"11/09/2012, 09/12/2012, 08/15/2012",
8/9/2010,LICENSED,(559) 920-3939,547202416,CA,24,1,2,"82054(c)(a), 8, 80075(f)","04/26/2012, 04/26/2012, 06/01/2015",0,,No Complaints,1,-121.862564,ADULT DAY PROGRAM,05/20/2015,93274,TULARE,1149 E. BATAVIA COURT,"05/20/2015, 04/19/2012",0,"GAITHER, HENRIETTA",ADULT ACHIEVEMENT CENTER,"RACKLEY, KRISTIE D",TULARE,37.679817,1,45,0,2,5/20/2015,04/19/2012,
7/20/2006,LICENSED,(530) 878-8912,317003600,CA,27,1,0,,,0,,No Complaints,9,-118.93564,ADULT DAY PROGRAM,03/04/2014,95722,PLACER,16825 PLACER HILLS RD. ROOM 20,"06/24/2015, 06/24/2015, 12/03/2014, 04/09/2014, 04/09/2014, 03/12/2014, 03/04/2014, 05/15/2013, 07/13/2011, 06/30/2011",0,PLACER ARC,ADULT ACHIEVEMENT CENTER,CINDY CUFFE,MEADOW VISTA,35.404944,0,80,0,10,6/24/2015,"06/24/2015, 06/24/2015, 12/03/2014, 04/09/2014, 04/09/2014, 03/12/2014, 05/15/2013, 07/13/2011, 06/30/2011",
6/22/2004,LICENSED,(626) 966-2857,198600359,CA,28,3,0,,,0,,No Complaints,1,-118.339526,ADULT DAY PROGRAM,"04/15/2013, 09/14/2012, 07/29/2011",91723,LOS ANGELES,344 SOUTH CITRUS AVENUE,"08/16/2013, 04/15/2013, 09/14/2012, 07/29/2011",0,"ADULT BASIC LEARNING ENVIRONMENT, INC.",ADULT BASIC LEARNING ENVIRONMENT,MONIKA LOZANA,COVINA,34.067566,0,45,0,4,8/16/2013,08/16/2013,
5/6/1997,LICENSED,(818) 842-4933,197601249,CA,31,1,0,"82075(a), 82087(a)","03/15/2012, 04/05/2012",0,"['0', '2', '0', '0']",09/26/2013,0,-118.316932,ADULT DAY PROGRAM,03/08/2012,91502,LOS ANGELES,204 N. VICTORY BLVD.,"07/05/2013, 07/05/2013, 03/08/2012",2,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT,  INC",REGINA JASO,BURBANK,34.17517,1,30,1,3,7/5/2013,,
7/6/1988,LICENSED,(909) 797-0168,360908714,CA,18,2,1,"82078, 82072 a(3), 82078","09/30/2011, 09/30/2011, 12/02/2011",0,"['1', '0', '2', '0']",10/03/2011,5,-117.053017,ADULT DAY PROGRAM,"07/11/2014, 04/29/2013",92399,SAN BERNARDINO,34453 YUCAIPA BLVD.,"07/11/2014, 04/29/2013, 01/22/2013, 12/13/2012, 12/01/2011, 09/29/2011, 09/29/2011, 09/23/2011",1,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.",LARONDA SAXON,YUCAIPA,34.035121,0,30,0,8,7/11/2014,"01/22/2013, 12/13/2012, 12/01/2011, 09/29/2011, 09/23/2011",
